Title,Link,Date,Text
UNDERCOVER VIDEO FOOTAGE LEADS TO TAIL DOCKING BAN,https://vegnews.com/2012/10/undercover-video-footage-leads-to-tail-docking-ban,"OCTOBER 11, 2012","Following Tuesday’s release of an undercover video shot by animal-welfare group Mercy For Animals revealing workers at Bettencourt Dairies’ Dry Creek Dairy in Hansen, ID—a dairy supplier to Burger King—violently abusing animals, some of the farm’s buyers are taking groundbreaking action. In a statement, Wendy’s announced that it will sever all ties with the dairy supplier, while Kraft Foods Inc. is taking action to ban tail docking in its supply chain. Kraft is the first major corporation to implement a mandatory phase-out of the practice—a painful procedure that permanently removes all or part of the tail, leaving cattle vulnerable to maggot infestation, also known as “fly strike.” Three workers at the farm, including one manager, have been charged with criminal cruelty to animals as a result of the video. "
POPULARITY OF VEGAN DIET GROWING AMONG BLACK MEN,https://vegnews.com/2012/10/popularity-of-vegan-diet-growing-among-black-men,"OCTOBER 11, 2012","In a recent article on thegrio.com, Dr. Tyeese Gaines, the website’s health editor, explores the growing popularity of veganism amongst black men. Gaines notes that interest in a plant-based lifestyle is growing thanks to recognizable faces adopting vegan and vegetarian diets, including Texans running back Arian Foster, musician André 3000, and former boxer Mike Tyson. Additionally, the continued exposure of the health benefits of vegan diets in mainstream media has helped increase awareness. Gaines also mentions that many members of the black community are interested in veganism because it is seen as a return to the traditional, natural, or cultural eating habits of years past. Veganism has an established foundation amongst black women thanks to trailblazing publications such as Breeze Harper’s Sistah Vegan. "
ANIMAL ABUSE REVEALED AT BURGER KING FACILITY,https://vegnews.com/2012/10/animal-abuse-revealed-at-burger-king-facility,"OCTOBER 10, 2012","Animal-welfare group Mercy For Animals released a video yesterday that revealed workers at Burger King diary supplier Bettencourt Dairies’ Dry Creek Dairy in Hansen, ID violently abusing animals. The graphic undercover film, which was shot in August, shows workers shocking cows, dragging a downed cow with a tractor by the neck, stomping and beating cows inside a milking barn and twisting cow’s tails to deliberately inflict pain. Three individuals have been charged with misdemeanor animal cruelty as a result of the video, and if convicted, each face up to $5,000 in fines and possible jail time. "
VEG EATERY SEEKS SUPPORT FOR RESTAURANT EQUIPMENT,https://vegnews.com/2012/10/veg-eatery-seeks-support-for-restaurant-equipment,"OCTOBER 10, 2012","Caroline Morrison and Siobhan Southern are hoping to open up Raleigh, NC’s first all-vegetarian restaurant, the Fiction Kitchen, and have taken to Kickstarter to help fund this project. So far the pair has collected more than $24,000 of their $36,000 goal with two days left until the project closes; if they do not meet their financial goal the project will not be funded. Donations will go toward purchasing new kitchen equipment that has not been used to cook non-vegetarian foods. Morrison and Southern have already proven their plant-based culinary success with popular monthly pop-up brunch sessions, offering dishes such as French Toast, Bacon and Huevos Rancheros, and Crab Cakes. "
VEGAN MAC AND CHEESE SHOWDOWN IN LOS ANGELES,https://vegnews.com/2012/10/vegan-mac-and-cheese-showdown-in-los-angeles,"OCTOBER 10, 2012","ChicaVegan.com is hosting a vegan mac and cheese showdown in Los Angeles this Saturday. Local restaurants competing for the titles “LA’s Best Mac and Cheese” and “People’s Choice” include M Café de Chaya, Doomie’s Home Cookin’, Sun Café, Stuff I Eat, Hugo’s Restaurant, and Southern Fried Vegan. Judging the showdown will be Top Chef Masters judge and the laist.com food editor Krista Simmons, Mohawk Bend’s executive chef Mike Garber, and Hot Knives cookbook writers Evan George and Alex Brown.  Photo: Hannah Kaminsky "
VEGAN DIET SHOWCASED ON THE STEVE HARVEY SHOW,https://vegnews.com/2012/10/vegan-diet-showcased-on-the-steve-harvey-show,"OCTOBER 9, 2012","Julieanna Hever, aka The Plant-Based Dietitian and author of The Complete Idiot’s Guide to Plant-Based Nutrition, will guest star on today’s episode of The Steve Harvey Show. Hever will mentor one viewer for a three-week weight-loss challenge, and will face off against two other viewers hoping to slim down; one following the Paleo Diet, as mentored by Chris LaLanne (fitness expert Jack LaLanne’s great nephew), and the other working with J.J. Smith to follow her DEM System (the Detox-Eat-Move diet). The challenge, which kicks off today on NBC, introduces the contestants, including Hever’s dieter Joyce, who is a working mother of six aiming to get her body back. A results episode will air next month. "
MEATLESS MONDAYS ENCOURAGE HEALTHIER EATING HABITS,https://vegnews.com/2012/10/meatless-mondays-encourage-healthier-eating-habits,"OCTOBER 9, 2012","The results of an online survey conducted by FGI Research reveal that participants in the Meatless Monday campaign have adopted healthier eating habits overall as a result of their involvement. The poll asked Meatless Monday participants what effect the campaign was having on their dietary habits, and of the 1,005 respondents, 73 percent revealed they consume more vegetables, 64 percent eat more fruit, 47 percent eat more whole grains, and 42 percent increased their intake of beans. Half of those polled also said they experiment with new plant-based recipes at home, and 42 percent considered themselves more adventurous when ordering vegetarian meals at restaurants. The survey’s results will be shared at the upcoming Academy of Nutrition and Dietetics’ Food and Nutrition Conference in Philadelphia, PA. "
FILMMAKER CHALLENGES ENVIRONMENTALISTS TO GO VEGAN,https://vegnews.com/2012/10/filmmaker-challenges-environmentalists-to-go-vegan,"OCTOBER 9, 2012","Famous director James Cameron has been making the headlines lately for his switch to a plant-based diet, and now the filmmaker is advocating for others to make the switch as well. On October 5, pro-vegan documentary Earthlings posted a clip of Cameron on its Facebook page. In it, the director discussed how all environmentalists should be vegans. “You can’t be an environmentalist, you can’t be an ocean steward, without truly walking the walk. And you can’t walk the walk in the world of the future, the world ahead of us, the world of our children, not eating a plant-based diet,” he says. According to the Food and Agriculture Organization of the United Nations, current estimates put the livestock industry’s contribution to global greenhouse gasses at 18 percent. "
VEGNEWS TWITTER CHAT: ROCK THE VEGAN VOTE,https://vegnews.com/2012/10/vegnews-twitter-chat-rock-the-vegan-vote,"OCTOBER 9, 2012","Rock the Vegan Vote
Wednesday, October 17 @ 6pm PT/9pm ET
Special Guests: Michael Markarian (@mmarkarian) and Nick Cooney (@NickCooney2) It’s an important election season and we’ll chat with policy experts to understand what our most compassionate choices in candidates and legislation. Never participated in a Twitter Chat before? Don’t worry. We have a handy guide to explain it all. Join us at the hashtag #vegnewschat. VegNews editors will be hosting the discussion, and you don’t need to have a Twitter account to join. Missed the chat? Click here for the transcript. Check out our complete schedule for the remaining 2012 Twitter chats! "
LA WEEKLY CALLS 2012 YEAR OF VEGAN COOKBOOKS,https://vegnews.com/2012/10/la-weekly-calls-2012-year-of-vegan-cookbooks,"OCTOBER 8, 2012","Yesterday, LA Weekly declared 2012 “the year of the vegan cookbook,” and highlighted five of the new cookbooks that make this year worthy of the title. Writer Jenn Garbee declared Joseph Shuldiner’s Pure Vegan, which features 70 recipes from French Toast with Cardamom Pear Compote to Eggplant Parmesan and Cashew Cream Sauce, the year’s best cooking tome. Robin Robertson took second place with her Fresh from the Vegan Slow Cooker, full of recipes such as Wild Mushroom-Barley Soup, Seitan Pot-au-Feau, and Spiced Pumpkin Cake. Vegan Food Gifts by Joni Marie Newman ranked as the third best vegan cookbook, which provides recipes for chocolate bark, homemade liqueurs, and marmalades, along with many more gift-ready foods and drinks. Vegan Sandwiches Save the Day! by Celine Steen and Tamasin Noyes took fourth place, closely followed by Miyoko Schinner’s Artisan Vegan Cheese. "
PHOENIX WELCOMES ALL-VEGAN VEGCO MARKET,https://vegnews.com/2012/10/phoenix-welcomes-all-vegan-vegco-market,"OCTOBER 8, 2012","The all-vegan VegCo Market, the first of its kind in Phoenix, is making its debut in early 2013. The market will house not only a grocery store, but also a deli, bakery, kitchen, classroom, and indoor garden, and offer cooking and gardening demonstrations. The supermarket is membership-based, however, if customers do not want to pay or cannot afford a membership fee, they have the opportunity to volunteer for the store’s local growers as an alternative. VegCo Market founder Heather Francois tells the Phoenix New Times, “This is great for lower-income families or those who simply wish to understand more about where their food comes from.” "
JOY KINGDOM FACEBOOK GAME BENEFITS REAL ANIMALS,https://vegnews.com/2012/10/joy-kingdom-facebook-game-benefits-real-animals,"OCTOBER 8, 2012","Sojo Studios, the gaming company responsible for the philanthropic game “WeTopia” benefitting children’s charities, is back with a second installment. In Joy Kingdom, benefiting the Humane Society of the United States, Best Friends Animal Society, and Farm Sanctuary, players help Amani, King of the Animal Spirits, rebuild the animal kingdom after its “joy” is stolen away by shadows. As players work together, they earn joy as a currency, and are able to contribute to their charity of choice to fund real-world projects. The funding is thanks in part to Sojo’s partnership with Ellen DeGeneres and additional support from Justin Bieber. “Joy Kingdom is fun, and I’m excited about how many animals we’re gonna help,” says DeGeneres. “I hope that when my fans play Joy Kingdom they feel the same way,” adds Bieber. "
LEONARDO DICAPRIO SPEAKS OUT AGAINST POACHING,https://vegnews.com/2012/10/leonardo-dicaprio-speaks-out-against-poaching,"OCTOBER 7, 2012","Actor and environmental activist Leonardo DiCaprio took to his Facebook page October 3, calling for an end to poaching. “Poaching is rampant throughout Africa—all for elephant ivory products that nobody needs. If we can’t stop the illegal ivory trade … elephants will continue to be killed at alarming rates,” wrote DiCaprio. The star of the upcoming film The Great Gatsby also shared a link to the International Fund for Animal Welfare’s website, where an article by the nonprofit provides further details on the militarization of traffickers and the ivory trade in China. DiCaprio is slated to produce an anti-poaching movie with friend, Gatsby co-star, and vegan Toby Maguire, as well as former Inception co-star Tom Hardy. The movie will address the ground war poachers in Aftrica, and cover the topic of animals used for fashion. "
NEW YORK’S FOOD BLOG LISTS FAVORITE VEGAN EATS,https://vegnews.com/2012/10/new-yorks-food-blog-lists-favorite-vegan-eats,"OCTOBER 7, 2012","Last week, Grub Street listed its eight favorite new vegan dishes in the New York City area. Some of the meals that made the cut included Beyond Sushi’s sushi rolls, which the food bloggers said had “creative combinations and super-fresh ingredients,” The MasalaWala’s Gobi Manchurian, which is an Indian dish consisting of fried battered cauliflower, and Mission Chinese Foods’ Thrice-Cooked Bacon. The self-proclaimed “proud omnivores” revealed they may have enjoyed the vegan bacon from Mission Chinese Food even more than the real thing. Photo via Grub Street "
PROCESSED MEAT CONSUMPTION LINKED TO CANCERS,https://vegnews.com/2012/10/processed-meat-consumption-linked-to-cancers,"OCTOBER 7, 2012","New findings in a Uruguayan study published recently in the British Journal of Cancer revealed that eating large amounts of processed meat definitively increases the chances of developing colon, rectum, stomach, esophagus, and lung cancers. University of the Republic in Montevideo researchers looked at data spanning from 1996 to 2004 of 6,060 men and women—a control group of 2,532 and 3,528 of which had cancer (including esophagus, stomach, colon, and kidney)—and found all the cancers except renal cell carcinoma (kidney) to be “significantly associated with elevated risks for processed meat consumption.” The researchers also found that the processed meats with the strongest cancer-site ties were mortadella, salami, hot dog, ham, and salted meat. "
8 TIPS FOR SURVIVING AS A SMALL-TOWN VEGAN,https://vegnews.com/2012/10/8-tips-for-surviving-as-a-small-town-vegan,"OCTOBER 7, 2012","Life must be so easy for vegans who are lucky enough to live in Portland, where the streets are lined with nutritional yeast, or Chicago, where the clouds are made of Dandies marshmallows. For herbivores who live in small towns (and even some not-so-veg-friendly mid-size cities), keeping the vegan faith can be a little trickier. But before you throw your hands up in frustration and go for the bacon, take a moment to check out some advice from a few vegans who have been paving the meat-free way in their one-horse towns for years.  When dining out …  1. Call ahead.
Vegan food is everywhere. Sometimes it just takes a little work to find it. Before heading to a non-vegan restaurant, call ahead and inquire about ways to easily veganize dishes on the menu. A vegetable-topped pizza with no cheese or a plate of pasta with marinara are easy options, but get creative. Many chefs are happily up for a challenge. “Most [of the restaurants in my town] don’t have a vegan menu or many vegan options, but I’ve found most restaurants will make me something tasty if I ask nicely,” says Paul Jarvis, a vegan who lives in the tiny town of Tofino, British Columbia (population: 1,876). 2. Bring your own food.
If a cheese-less pizza doesn’t sound all that appetizing, bring some vegan cheese from home. That’s what Kohlrabi & Quince blogger Kelly Reckas of Auberry, CA (population: 2,369) does when she makes the 20-minute drive to the nearest town with a pizza parlor. “If I’m craving something melty on my pizza, they’ll put vegan cheese on it if I bring it in,” Reckas said. Tote along items such as guacamole, vegan sour cream, nutritional yeast, or even vegan deli slices to take a boring restaurant meal up three notches. 3. Fast food can be your friend.
This tip may not work in blink-or-you’ll-miss-them towns, but most mid-sized towns have a fast food chain or two. Where there’s a Subway or a Taco Bell, there is a vegan meal to be had. Check smart phone apps like Vegan Xpress or VegFast for a comprehensive list of vegan options at fast food joints and chain restaurants. 4. Go ethnic.
More Than Tofu and Sprouts blogger Marti Miller Hall lives in Graham, WA (population: 23,491), and although it’s not the tiniest of towns, Hall says there are no vegan or vegetarian restaurants to speak of. But she finds plenty to eat at ethnic joints. “I have closely, carefully, and politely questioned the local Mexican, Thai, and teriyaki places, and I know fairly confidently what I can order there,” Hall says. “Ask to see the carton or product label of sauces. They are usually willing to show you if you are polite.” Things to look out for: fish sauce at Thai joints, lard at Mexican restaurants, and ghee (clarified butter) in Indian and Ethiopian eateries. When shopping for vegan groceries … 5. Get to know the owners.
Nothing beats a little face-to-face conversation with the owner of a restaurant or store when seeking vegan menu items or products. Hall prints out information on vegan products she’d like to see in her supermarket and hands them to owners and managers. She even convinced a local drive-through espresso stand to start stocking almond milk for her coffee, and it’s now requested by lots of customers. 6. Order vegan items online.
It’s easier than ever to be vegan in the age of the internet. Sites like veganessentials.com, foodfghtgrocery.com, and veganstore.com offer products from Teese cheese or Frozen Tofurky pizzas. Stock up to avoid frequent shipping charges, and sign up for the websites’ newsletters to receive coupon codes and sale information. When you want to meet other vegans … 7. Make friends online.
Before Vegan Omaha founder and blogger John McDevitt started a meetup.com group several years ago, there wasn’t a sense of community amongst vegans in the mid-size, Midwest city. But through the power of the internet, McDevitt organized a tight social group that meets regularly at veg-friendly restaurants. “Search meetup.com or Facebook for any groups in your area,” McDevitt says. “Or better yet, start your own group. Chances are there are people just like you. Community is important when you’re going vegan.” 8. Spread the vegan gospel.
Perhaps the best way to make vegan friends in a non-vegan town is to make new vegans. Start by taking vegan cookies or treats to the office or share a vegan pie with a neighbor. Avoid being preachy, but let your friends know how great you feel on your vegan diet. Host potlucks and challenge your omni friends to make a vegan dish. Eventually, some of those friends may decide to follow in your footsteps and at least give up some (if not all) meat. Bianca Phillips blogs at Vegan Crunk and is the author of Cookin’ Crunk: Eatin’ Vegan in the Dirty South. "
STEVE-O SHARES HIS DEDICATION TOWARD VEGANISM,https://vegnews.com/2012/10/steve-o-shares-his-dedication-toward-veganism,"OCTOBER 6, 2012","Steve-O, the comedian most famous for the MTV reality show Jackass, recently discussed the importance of veganism with a local affiliate of NBC in Miami. “I started to think that eating meat was bringing me bad karma … then from no meat went to no fish, and now I am strictly vegan,” he says. Steve-O also commented on how the switch to a meat- and dairy-free lifestyle has improved his health saying that it is nearly unheard of to hear a vegan complain about not feeling well or having troubles sleeping. The currently single comedian shared his dream girl, describing her as totally vegan with a passion for surfing and free from drugs, cigarettes, and alcohol. "
TIM GUNN’S FASHION BIBLE SENDS ANTI-FUR MESSAGE,https://vegnews.com/2012/10/tim-gunns-fashion-bible-sends-anti-fur-message,"OCTOBER 5, 2012","As a top fashion guru and mentor to burgeoning designers on Project Runway, Tim Gunn knows a thing or two about being well dressed. In his third book, Tim Gunn’s Fashion Bible: The Fascinating History of Everything in Your Closet, Gunn was careful to encourage readers to leave one particular item off the hanger—fur. In his chapter “Coats and Jackets,” Gunn dutifully explains how meeting with People for the Ethical Treatment of Animal’s Vice President Dan Mathews during his time at Liz Claiborne Inc. changed his perceptions. “I became convinced that fur was unnecessary and even immoral,” says Gunn, who subsequently implemented changes to make Claiborne fur-free, and further notes that “fur belongs in the dustbin of history.” Thanks to Gunn, who was PETA’s 2009 Man of the Year, Project Runway is also fur-free. "
ROSIE O’DONNELL SEES BENEFITS OF PLANT-BASED DIET,https://vegnews.com/2012/10/rosie-odonnell-sees-benefits-of-plant-based-diet,"OCTOBER 4, 2012","After revealing in late August that she had turned to a plant-based diet following a heart attack, Rosie O’Donnell is sharing her healing success. The comedienne talked to People Magazine, revealing she’s lost 12 pounds and feels more energetic. “I had a really sedentary lifestyle and that’s deadly. It took a heart attack for me to learn to take care of myself … now I feel like I’ve been given a second chance at life,” says O’Donnell. She also recently taped an interview with Dr. Oz in hopes of raising awareness of heart disease in women, detailing her new health transition with help from plant-based expert Dr. Caldwell Esselstyn. The episode is set to air October 8. "
MOST INFECTIOUS DISEASES COME FROM ANIMALS,https://vegnews.com/2012/10/most-infectious-diseases-come-from-animals,"OCTOBER 4, 2012","Recently, Michael Greger, director of public health and animal agriculture at The Humane Society of the United States, wrote a special CNN report on the alarming rise in animal-generated infectious diseases. “Tens to hundreds of thousands of caged animals under a single roof allow for zoonotic diseases to emerge, amplify and spread,” Greger says. In the report from the International Livestock Research Institute, which states that infectious diseases caused from animals—zoonotic diseases—result in roughly 2.5 billion human illnesses and 2.7 million deaths globally each year. Greger stresses as our society has increased meat consumption, the number of infectious diseases has also risen. Additionally, Greger notes that the most efficient way to decrease the rate of infectious diseases in the US is to move toward animal welfare on farms and free livestock from their confining cages. "
SAN DIEGO VEGAN CO-OP SEEKS ONLINE DONATIONS,https://vegnews.com/2012/10/san-diego-vegan-co-op-seeks-online-donations,"OCTOBER 4, 2012","California-based restaurant-entrepreneur Mitch Wallis has taken to Kickstarter to seek financial support for his startup, San Diego Vegan Co-Op, which he hopes to open next spring. Wallis has found an accessible 8,000-square-foot property next to an eco-friendly alternative-fuel station, and imagines the co-op will be an eclectic grocery that features local produce, natural medicine, a café, and public cooking classes. Construction is estimated to take about six months. The project hopes to raise $150,000 by October 13, which will directly go toward the startup. "
FILMMAKER JAMES CAMERON GOES MEAT- AND DAIRY-FREE,https://vegnews.com/2012/10/filmmaker-james-cameron-goes-meat-and-dairy-free,"OCTOBER 3, 2012","In 2009, acclaimed filmmaker James Cameron showed his interest in environmental action in his blockbuster hit Avatar by demonstrating how people’s actions can negatively impact the planet. More recently, the filmmaker has taken to changing his diet and lifestyle to encourage more sustainable living by switching to a plant-based diet and motivating his family members to do the same. In an interview with the Calgary Herald, Cameron discussed his recent switch to animal-free foods. “It’s not a requirement to eat animals, we just choose to do it, so it becomes a moral choice and one that is having a huge impact on the planet, using up resources and destroying the biosphere,” says Cameron. Photo via wired.com "
LAW BANNING HUNTING IN COSTA RICA NEARS APPROVAL,https://vegnews.com/2012/10/law-banning-hunting-in-costa-rica-nears-approval,"OCTOBER 3, 2012","Costa Rica is primed be the first Latin American country to outlaw hunting as a sport. Following a recent approval from Congress on reforms to its Wildlife Conservation Law the bill may go into effect if the second vote is sucessful. The changes aim to protect the region’s diverse and exotic wildlife, while also protecting the country’s tourism-reliant economy, which collects roughly $2.1 billion each year. Tropical rainforests, sandy beaches, and national parks—which bring in around 300,000 visitors per year—are a large draw, and are home to highly prized “trophy” animals such as jaguars, pumas, and sea turtles. While the ban would be nation-wide, it would not apply to scientific research or to the country’s indigenous groups who rely on hunting for survival. "
WAYNE PACELLE HOPES TO JOIN TYSON FOODS BOARD,https://vegnews.com/2012/10/wayne-pacelle-hopes-to-join-tyson-foods-board,"OCTOBER 3, 2012","Wayne Pacelle, President and CEO of the Humane Society of the United States, is running for a position on the board of directors at Tyson Foods. Pacelle’s quest to join the board is part of a larger strategy to eliminate gestation crates from pork supply chains across the country—a change that Tyson is resisting. On his blog, Pacelle states “the company is not only making the wrong moral decision, but the wrong business decision too,” noting he has the support of billionaire investor Carl Icahn and hopes to convince the shareholders that his place on the board is necessary as consumers demand that companies make animal welfare a priority. In a press statement, Icahn wrote that eliminating the confining crates would improve Tyson’s business prospects and keep them in line industry leaders already rejecting gestation crates. "
